id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
118409410,3837,HPK Hämeenlinna,3846,Ässät Pori,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,23/09/2014 17:32,23/09/2014 19:46,1,0,0,0,0,1,1,1,2.15059,4.35192,3.27625,4.5,1.94398,2.05935,5.5,2.73404,1.57669
118409510,3844,Pelicans Lahti,3841,Ilves Tampere,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,23/09/2014 17:31,23/09/2014 20:00,0,0,1,1,4,0,5,1,2.15035,4.32532,3.27461,4.5,1.85582,2.16847,5.5,2.76553,1.5664
118409610,3823,Vaasan Sport,3838,Blues Espoo,108301,SM-liiga,40201,Finnland,SM-liiga - Finnland,Eishockey,23/09/2014 17:38,23/09/2014 20:05,0,1,4,0,2,1,6,2,3.28113,4.54084,2.10914,4.5,1.76105,2.31397,5.5,2.50168,1.66592
118477210,3760,HC Örebro,3732,HV 71,115301,SHL,39201,Schweden,SHL - Schweden,Eishockey,25/09/2014 19:00,25/09/2014 21:10,0,0,0,0,2,0,2,0,2.79233,4.04194,2.5321,4.5,1.78519,2.27357,5.5,2.5721,1.63609
118477310,3733,Djurgårdens IF,3728,Färjestads BK,115301,SHL,39201,Schweden,SHL - Schweden,Eishockey,25/09/2014 19:00,25/09/2014 21:43,0,0,0,0,1,1,1,1,2.87015,4.06448,2.47051,4.5,1.93095,2.07417,5.5,2.74885,1.5718
118477410,3739,Leksands IF,3729,Luleå HF,115301,SHL,39201,Schweden,SHL - Schweden,Eishockey,25/09/2014 19:00,25/09/2014 21:13,0,2,0,1,0,5,0,8,3.41072,4.09988,2.16031,4.5,2.14391,1.8742,5.5,3.35169,1.42523
118477510,3740,Skellefteå AIK,3727,Brynäs IF,115301,SHL,39201,Schweden,SHL - Schweden,Eishockey,26/09/2014 19:00,26/09/2014 21:09,1,0,2,1,1,0,4,1,1.62334,5.25912,5.15893,4.5,1.82725,2.20882,5.5,2.58169,1.63223
118477610,3734,Frölunda HC,3730,Modo Hockey,115301,SHL,39201,Schweden,SHL - Schweden,Eishockey,26/09/2014 19:06,26/09/2014 21:23,0,1,1,0,2,1,3,2,1.6443,4.89475,5.33226,4.5,1.90827,2.101,5.5,2.76975,1.56505
118482610,3922,KAC Klagenfurt,3915,Black Wings Linz,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,25/09/2014 19:16,25/09/2014 21:29,0,6,0,2,0,1,0,9,2.53579,4.70441,2.53579,4.5,1.45228,3.211,5.5,1.86354,2.15803
118482710,3919,EC Graz 99ers,7847,Sapa Fehervar,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,26/09/2014 19:16,26/09/2014 21:23,2,0,2,1,0,0,4,1,1.72293,5.43395,4.24514,4.5,1.39463,3.534,5.5,1.75607,2.32262
118482810,3914,Vienna Capitals,2046,RB Salzburg,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,26/09/2014 19:15,26/09/2014 21:28,0,0,2,2,0,2,2,4,2.27866,4.68681,2.85148,4.5,1.46556,3.14794,5.5,1.85897,2.16418
118482910,3918,HC Innsbruck,3868,HC Znojmo,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,26/09/2014 19:16,26/09/2014 21:43,2,1,1,1,2,0,5,2,2.92415,4.80578,2.22253,4.5,1.41982,3.382,5.5,1.80412,2.24359
118483010,7846,Olimp. Ljubljana,3917,EC VSV,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,26/09/2014 20:15,26/09/2014 21:46,0,0,3,0,1,1,4,1,4.99588,5.92215,1.58484,4.5,1.37481,3.668,5.5,1.71985,2.38918
